rank,name,rating,votes,year,country,genre
1,肖申克的救赎,9.7,3131952,1994,['美国'],"['犯罪', '剧情']"
2,霸王别姬,9.6,2310671,1993,"['中国大陆', '中国香港']","['剧情', '爱情', '同性']"
3,泰坦尼克号,9.5,2372906,1997,"['美国', '墨西哥']","['剧情', '爱情', '灾难']"
4,阿甘正传,9.5,2328905,1994,['美国'],"['剧情', '爱情']"
5,千与千寻,9.4,2419481,2001,['日本'],"['剧情', '动画', '奇幻']"
6,美丽人生,9.5,1420801,1997,['意大利'],"['剧情', '喜剧', '爱情', '战争']"
7,这个杀手不太冷,9.4,2462266,1994,"['法国', '美国']","['剧情', '动作', '犯罪']"
8,星际穿越,9.4,2047424,2014,"['美国', '英国', '加拿大']","['剧情', '科幻', '冒险']"
9,盗梦空间,9.4,2225338,2010,"['美国', '英国']","['剧情', '科幻', '悬疑', '冒险']"
10,楚门的世界,9.4,1903390,1998,['美国'],"['剧情', '科幻']"
11,辛德勒的名单,9.5,1200318,1993,['美国'],"['剧情', '历史', '战争']"
12,忠犬八公的故事,9.4,1485997,2009,"['美国', '英国']",['剧情']
13,海上钢琴师,9.3,1805339,1998,['意大利'],"['剧情', '音乐']"
14,三傻大闹宝莱坞,9.2,1992031,2009,['印度'],"['剧情', '喜剧', '爱情', '歌舞']"
15,放牛班的春天,9.3,1413178,2004,"['法国', '瑞士', '德国']","['剧情', '音乐']"
16,机器人总动员,9.3,1419369,2008,['美国'],"['科幻', '动画', '冒险']"
17,疯狂动物城,9.2,2133518,2016,['美国'],"['喜剧', '动画', '冒险']"
18,无间道,9.3,1489131,2002,['中国香港'],"['剧情', '犯罪', '惊悚']"
19,控方证人,9.6,655732,1957,['美国'],"['剧情', '犯罪', '悬疑', '惊悚']"
20,大话西游之大圣娶亲,9.2,1642126,1995,"['中国香港', '中国大陆']","['喜剧', '爱情', '奇幻', '古装']"
21,熔炉,9.3,998229,2011,['韩国'],['剧情']
22,触不可及,9.3,1227895,2011,['法国'],"['剧情', '喜剧']"
23,教父,9.3,1052063,1972,['美国'],"['剧情', '犯罪']"
24,寻梦环游记,9.1,1857491,2017,['美国'],"['喜剧', '动画', '奇幻', '音乐']"
25,当幸福来敲门,9.2,1624711,2006,['美国'],"['剧情', '传记', '家庭']"
26,末代皇帝,9.3,974766,1987,"['英国', '意大利', '中国大陆', '法国']","['剧情', '传记', '历史']"
27,龙猫,9.2,1356569,1988,['日本'],"['动画', '奇幻', '冒险']"
28,哈利·波特与魔法石,9.2,1341376,2001,"['美国', '英国']","['奇幻', '冒险']"
29,怦然心动,9.1,1968436,2010,['美国'],"['剧情', '喜剧', '爱情']"
30,活着,9.3,924719,1994,"['中国大陆', '中国香港']","['剧情', '历史', '家庭']"
31,蝙蝠侠：黑暗骑士,9.2,1144478,2008,"['美国', '英国']","['剧情', '动作', '科幻', '犯罪', '惊悚']"
32,指环王3：王者无敌,9.3,869797,2003,"['美国', '新西兰']","['剧情', '动作', '奇幻', '冒险']"
33,我不是药神,9.0,2261506,2018,['中国大陆'],"['剧情', '喜剧']"
34,乱世佳人,9.3,751174,1939,['美国'],"['剧情', '历史', '爱情', '战争']"
35,飞屋环游记,9.1,1431489,2009,['美国'],"['剧情', '喜剧', '动画', '冒险']"
36,让子弹飞,9.0,1839034,2010,"['中国大陆', '中国香港']","['剧情', '喜剧', '动作', '西部']"
37,哈尔的移动城堡,9.1,1211632,2004,['日本'],"['爱情', '动画', '奇幻', '冒险']"
38,素媛,9.3,743697,2013,['韩国'],['剧情']
39,十二怒汉,9.4,545900,1957,['美国'],['剧情']
40,海蒂和爷爷,9.3,717544,2015,"['德国', '瑞士']","['剧情', '冒险', '家庭']"
41,猫鼠游戏,9.1,1140327,2002,"['美国', '加拿大']","['传记', '犯罪', '剧情']"
42,天空之城,9.2,961922,1986,['日本'],"['动画', '奇幻', '冒险']"
43,摔跤吧！爸爸,9.0,1677945,2016,['印度'],"['剧情', '传记', '运动', '家庭']"
44,鬼子来了,9.3,681143,2000,['中国大陆'],"['剧情', '喜剧']"
45,少年派的奇幻漂流,9.1,1437045,2012,"['美国', '中国台湾', '英国', '加拿大']","['剧情', '奇幻', '冒险']"
46,钢琴家,9.3,708924,2002,"['英国', '法国', '波兰', '德国', '美国']","['剧情', '传记', '战争', '音乐']"
