rank,name,rating,votes,year,country,genre
1,肖申克的救赎,9.7,3113349,1994,['美国'],"['犯罪', '剧情']"
2,霸王别姬,9.6,2297555,1993,"['中国大陆', '中国香港']","['剧情', '爱情', '同性']"
3,阿甘正传,9.5,2316536,1994,['美国'],"['剧情', '爱情']"
4,泰坦尼克号,9.5,2358170,1997,"['美国', '墨西哥']","['剧情', '爱情', '灾难']"
5,千与千寻,9.4,2405674,2001,['日本'],"['剧情', '动画', '奇幻']"
6,美丽人生,9.5,1414334,1997,['意大利'],"['剧情', '喜剧', '爱情', '战争']"
7,这个杀手不太冷,9.4,2452080,1994,"['法国', '美国']","['剧情', '动作', '犯罪']"
8,星际穿越,9.4,2031775,2014,"['美国', '英国', '加拿大']","['剧情', '科幻', '冒险']"
9,盗梦空间,9.4,2213690,2010,"['美国', '英国']","['剧情', '科幻', '悬疑', '冒险']"
10,楚门的世界,9.4,1889029,1998,['美国'],"['剧情', '科幻']"
11,辛德勒的名单,9.5,1195125,1993,['美国'],"['剧情', '历史', '战争']"
12,忠犬八公的故事,9.4,1479491,2009,"['美国', '英国']",['剧情']
13,海上钢琴师,9.3,1796919,1998,['意大利'],"['剧情', '音乐']"
14,三傻大闹宝莱坞,9.2,1981587,2009,['印度'],"['剧情', '喜剧', '爱情', '歌舞']"
15,放牛班的春天,9.3,1406084,2004,"['法国', '瑞士', '德国']","['剧情', '音乐']"
16,机器人总动员,9.3,1411424,2008,['美国'],"['科幻', '动画', '冒险']"
17,疯狂动物城,9.2,2116171,2016,['美国'],"['喜剧', '动画', '冒险']"
18,无间道,9.3,1480384,2002,['中国香港'],"['剧情', '犯罪', '惊悚']"
19,控方证人,9.6,649731,1957,['美国'],"['剧情', '犯罪', '悬疑', '惊悚']"
20,大话西游之大圣娶亲,9.2,1633337,1995,"['中国香港', '中国大陆']","['喜剧', '爱情', '奇幻', '古装']"
21,熔炉,9.3,993904,2011,['韩国'],['剧情']
22,教父,9.3,1046506,1972,['美国'],"['剧情', '犯罪']"
23,触不可及,9.3,1220370,2011,['法国'],"['剧情', '喜剧']"
